Temperature (K),Pressure (bar)
3.170000000000000000e+02,8.058699999999999974e+00
3.180000000000000000e+02,8.143800000000000594e+00
3.190000000000000000e+02,8.229599999999999582e+00
3.200000000000000000e+02,8.316000000000000725e+00
3.210000000000000000e+02,8.403000000000000469e+00
3.220000000000000000e+02,8.490700000000000358e+00
3.230000000000000000e+02,8.579000000000000625e+00
3.240000000000000000e+02,8.667999999999999261e+00
3.250000000000000000e+02,8.757699999999999818e+00
3.260000000000000000e+02,8.848000000000000753e+00
3.270000000000000000e+02,8.939000000000000057e+00
3.280000000000000000e+02,9.030599999999999739e+00
3.290000000000000000e+02,9.122999999999999332e+00
3.300000000000000000e+02,9.215999999999999304e+00
3.310000000000000000e+02,9.309699999999999420e+00
3.320000000000000000e+02,9.403999999999999915e+00
3.330000000000000000e+02,9.499000000000000554e+00
3.340000000000000000e+02,9.594699999999999562e+00
3.350000000000000000e+02,9.691100000000000492e+00
3.360000000000000000e+02,9.788199999999999790e+00
3.370000000000000000e+02,9.885999999999999233e+00
3.380000000000000000e+02,9.984500000000000597e+00
3.390000000000000000e+02,1.008399999999999963e+01
3.400000000000000000e+02,1.018399999999999928e+01
3.410000000000000000e+02,1.028400000000000070e+01
3.420000000000000000e+02,1.038499999999999979e+01
3.430000000000000000e+02,1.048700000000000010e+01
3.440000000000000000e+02,1.058999999999999986e+01
3.450000000000000000e+02,1.069400000000000084e+01
3.460000000000000000e+02,1.079800000000000004e+01
3.470000000000000000e+02,1.090300000000000047e+01
3.480000000000000000e+02,1.100799999999999912e+01
3.490000000000000000e+02,1.111400000000000077e+01
3.500000000000000000e+02,1.122100000000000009e+01
3.510000000000000000e+02,1.132900000000000063e+01
3.520000000000000000e+02,1.143800000000000061e+01
3.530000000000000000e+02,1.154700000000000060e+01
3.540000000000000000e+02,1.165700000000000003e+01
3.550000000000000000e+02,1.176800000000000068e+01
3.560000000000000000e+02,1.187899999999999956e+01
3.570000000000000000e+02,1.199099999999999966e+01
3.580000000000000000e+02,1.210399999999999920e+01
3.590000000000000000e+02,1.221799999999999997e+01
3.600000000000000000e+02,1.233200000000000074e+01
3.610000000000000000e+02,1.244800000000000040e+01
3.620000000000000000e+02,1.256400000000000006e+01
3.630000000000000000e+02,1.267999999999999972e+01
3.640000000000000000e+02,1.279800000000000004e+01
3.650000000000000000e+02,1.291600000000000037e+01
3.660000000000000000e+02,1.303500000000000014e+01
3.670000000000000000e+02,1.315499999999999936e+01
3.680000000000000000e+02,1.327599999999999980e+01
3.690000000000000000e+02,1.339700000000000024e+01
3.700000000000000000e+02,1.351900000000000013e+01
3.710000000000000000e+02,1.364199999999999946e+01
3.720000000000000000e+02,1.376600000000000001e+01
3.730000000000000000e+02,1.389100000000000001e+01
3.740000000000000000e+02,1.401600000000000001e+01
3.750000000000000000e+02,1.414199999999999946e+01
3.760000000000000000e+02,1.426900000000000013e+01
3.770000000000000000e+02,1.439700000000000024e+01
3.780000000000000000e+02,1.452599999999999980e+01
3.790000000000000000e+02,1.465499999999999936e+01
3.800000000000000000e+02,1.478500000000000014e+01
3.810000000000000000e+02,1.491600000000000037e+01
3.820000000000000000e+02,1.504800000000000004e+01
3.830000000000000000e+02,1.518099999999999916e+01
3.840000000000000000e+02,1.531400000000000006e+01
3.850000000000000000e+02,1.544800000000000040e+01
3.860000000000000000e+02,1.558300000000000018e+01
3.870000000000000000e+02,1.572000000000000064e+01
3.880000000000000000e+02,1.585599999999999987e+01
3.890000000000000000e+02,1.599399999999999977e+01
3.900000000000000000e+02,1.613299999999999912e+01
3.910000000000000000e+02,1.627199999999999847e+01
3.920000000000000000e+02,1.641199999999999903e+01
3.930000000000000000e+02,1.655300000000000082e+01
3.940000000000000000e+02,1.669500000000000028e+01
3.950000000000000000e+02,1.683800000000000097e+01
3.960000000000000000e+02,1.698199999999999932e+01
3.970000000000000000e+02,1.712600000000000122e+01
3.980000000000000000e+02,1.727100000000000080e+01
3.990000000000000000e+02,1.741799999999999926e+01
4.000000000000000000e+02,1.756500000000000128e+01
4.010000000000000000e+02,1.771300000000000097e+01
4.020000000000000000e+02,1.786199999999999832e+01
4.030000000000000000e+02,1.801099999999999923e+01
4.040000000000000000e+02,1.816199999999999903e+01
4.050000000000000000e+02,1.831299999999999883e+01
4.060000000000000000e+02,1.846600000000000108e+01
4.070000000000000000e+02,1.861899999999999977e+01
4.080000000000000000e+02,1.877299999999999969e+01
4.090000000000000000e+02,1.892800000000000082e+01
4.100000000000000000e+02,1.908399999999999963e+01
4.110000000000000000e+02,1.924099999999999966e+01
4.120000000000000000e+02,1.939900000000000091e+01
4.130000000000000000e+02,1.955799999999999983e+01
4.140000000000000000e+02,1.971699999999999875e+01
4.150000000000000000e+02,1.987800000000000011e+01
4.160000000000000000e+02,2.003999999999999915e+01
4.170000000000000000e+02,2.020200000000000173e+01
4.180000000000000000e+02,2.036499999999999844e+01
4.190000000000000000e+02,2.053000000000000114e+01
4.200000000000000000e+02,2.069500000000000028e+01
4.210000000000000000e+02,2.086100000000000065e+01
4.220000000000000000e+02,2.102799999999999869e+01
4.230000000000000000e+02,2.119600000000000151e+01
4.240000000000000000e+02,2.136499999999999844e+01
4.250000000000000000e+02,2.153500000000000014e+01
4.260000000000000000e+02,2.170599999999999952e+01
4.270000000000000000e+02,2.187699999999999889e+01
4.280000000000000000e+02,2.205000000000000071e+01
