Temperature (K),Pressure (bar)
7.140000000000000000e+02,9.037000000000000123e-09
7.085000000000000000e+02,9.381000000000001416e-09
7.032999999999999545e+02,9.741000000000001000e-09
6.986000000000000227e+02,1.012000000000000062e-08
6.942999999999999545e+02,1.050999999999999948e-08
6.905000000000000000e+02,1.092000000000000117e-08
6.871000000000000227e+02,1.135000000000000072e-08
6.842000000000000455e+02,1.179000000000000168e-08
6.816000000000000227e+02,1.226000000000000026e-08
6.795000000000000000e+02,1.274000000000000026e-08
6.777000000000000455e+02,1.323999999999999977e-08
6.762999999999999545e+02,1.376000000000000046e-08
6.752000000000000455e+02,1.431000000000000042e-08
6.743999999999999773e+02,1.487000000000000014e-08
6.716000000000000227e+02,1.546000000000000079e-08
6.692999999999999545e+02,1.607999999999999907e-08
6.696000000000000227e+02,1.671000000000000206e-08
6.697999999999999545e+02,1.737000000000000268e-08
6.702000000000000455e+02,1.806000000000000091e-08
6.705000000000000000e+02,1.877000000000000198e-08
6.706000000000000227e+02,1.951000000000000066e-08
6.705000000000000000e+02,2.028000000000000028e-08
6.701000000000000227e+02,2.108000000000000082e-08
6.692999999999999545e+02,2.190000000000000089e-08
6.678999999999999773e+02,2.275999999999999999e-08
6.660000000000000000e+02,2.366000000000000143e-08
6.636000000000000227e+02,2.459000000000000049e-08
6.602999999999999545e+02,2.555999999999999859e-08
6.562000000000000455e+02,2.658000000000000044e-08
6.512999999999999545e+02,2.764000000000000133e-08
6.450000000000000000e+02,2.875000000000000267e-08
6.350000000000000000e+02,2.991999999999999925e-08
6.257999999999999545e+02,3.114999999999999769e-08
6.155000000000000000e+02,3.245000000000000271e-08
6.035000000000000000e+02,3.384000000000000391e-08
5.902999999999999545e+02,3.530999999999999656e-08
5.772999999999999545e+02,3.688000000000000334e-08
5.657999999999999545e+02,3.855000000000000440e-08
5.558999999999999773e+02,4.033000000000000445e-08
5.472999999999999545e+02,4.223000000000000161e-08
5.406000000000000227e+02,4.424000000000000439e-08
5.367999999999999545e+02,4.636000000000000617e-08
5.336000000000000227e+02,4.860000000000000505e-08
5.343999999999999773e+02,5.094999999999999632e-08
5.363999999999999773e+02,5.340999999999999982e-08
5.383999999999999773e+02,5.597000000000000421e-08
5.393999999999999773e+02,5.864000000000000099e-08
5.386000000000000227e+02,6.143999999999999959e-08
5.363999999999999773e+02,6.438000000000001136e-08
5.331000000000000227e+02,6.747999999999999280e-08
5.277000000000000455e+02,7.074999999999999495e-08
5.185000000000000000e+02,7.422000000000001212e-08
5.043000000000000114e+02,7.794000000000000837e-08
4.800000000000000000e+02,8.202000000000000256e-08
4.528000000000000114e+02,8.656000000000000218e-08
4.276999999999999886e+02,9.165000000000000342e-08
4.101999999999999886e+02,9.732000000000000059e-08
3.980000000000000000e+02,1.036000000000000012e-07
3.890000000000000000e+02,1.103999999999999960e-07
3.823999999999999773e+02,1.178000000000000093e-07
3.788000000000000114e+02,1.259000000000000090e-07
3.761999999999999886e+02,1.344999999999999934e-07
3.718999999999999773e+02,1.439000000000000114e-07
